ID Médecin,Nom,Prénom,Spécialité,Hôpital,Téléphone
2868,Roach,Jesse,Neurologue,Myers Inc,+1-890-985-8481x3632
2044,Short,Oscar,Généraliste,"Kline, Phelps and Kim",001-690-346-1383x079
2036,Woods,Teresa,Pédiatre,Thompson Group,001-480-772-6461
2882,Davis,Ronnie,Pédiatre,"Fowler, Willis and Green",(471)326-1543x72449
2439,Cordova,Sarah,Généraliste,Moore Ltd,631.241.7532x562
2424,Kennedy,Julie,Pédiatre,"Watts, Franklin and Hunt",855-297-3683x31577
2894,Johnson,Jennifer,Neurologue,"Chavez, Randolph and Stevens",6095088110
2579,Koch,Jennifer,Pédiatre,Pearson and Sons,829-131-6718x8958
2117,Ochoa,Kara,Dermatologue,"Oliver, Hill and Huffman",135-000-5780
2071,Schroeder,Eric,Neurologue,Johnson PLC,0040733458
2925,Taylor,Daniel,Psychiatre,Dalton PLC,001-396-952-0497x25599
2144,Smith,Thomas,Dermatologue,Jimenez Ltd,5666721193
2928,Harris,Kayla,Psychiatre,Owen Group,001-082-287-2552x2231
2847,Baker,Kathy,Psychiatre,Wright-Black,590.988.1369x11699
2316,Thomas,Michael,Psychiatre,Lester and Sons,281-158-8610
